"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"LED2";"LEDC3216X200N";1;"APTD3216LCGCK";;;
2;"J4,J2,J1";"1717017";3;"1717017";;;
3;"IC4";"SOT95P280X125-3N";1;"BD49K33G-TL";;;
4;"IC3";"SOT95P280X145-5N";1;"MIC5225-3.3YM5-TR";;;
5;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_ISO7380_Pad";4;"MountingHole_Pad";;;
6;"T1";"760390015";1;"760390015";;;
7;"U1";"Allegro_CB_PFF";1;"ACS758xCB-050B-PFF";;;
8;"R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"100";;;
9;"R6,R8,R7";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"12";;;
10;"R4,R3,R1,R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"59.75e3";;;
11;"J3";"SHDR8W99P254_2X4_1778X889X947P";1;"70246-0802";;;
12;"Z1";"DFLZ6V87";1;"DFLZ6V2-7";;;
13;"U2";"SOT95P280X145-5N";1;"TLV70450DBVR";;;
14;"Rpg1,Rfbb2,Rfbb1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"100e3";;;
15;"Rfbt1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"523e3";;;
16;"R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"3.16";;;
17;"R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1000";;;
18;"PS1";"TPS82130SILT";1;"TPS82130SILT";;;
19;"LED1";"LEDM178X67N";1;"LG_L29K-G2J1-24-Z";;;
20;"IC2";"SOT95P280X145-5N";1;"SN6501DBVT";;;
21;"IC1";"SOP254P1040X485-8N";1;"AMC1100DUBR";;;
22;"FB1";"BEADC1608X95N";1;"MMZ1608B102CTA00";;;
23;"D2";"D_SOD-123";1;"MBR0520LT";;;
24;"D1";"SOT95P230X110-3N";1;"PESD15VL2BT,215";;;
25;"Css1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"430e-12";;;
26;"Cout1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"22e-6";;;
27;"Cin1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10e-6";;;
28;"C17,C12,C20,C15,C13,C19,C18,C9,C14";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";9;"0.1e-9";;;
29;"C16,C11,C10,C8";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"10e-9";;;
30;"C7,C5,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"1e-6";;;
31;"C6,C4,C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"0.1e-6";;;
32;"C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"330e-12";;;
